date,bitcoin_market_cap,total_market_cap,bitcoin_dominance,rolling_avg
2016-11-07,11271922275.87,13622394520.736149,82.74552802528046,81.24315138146154
2016-11-08,11318680821.599998,13674508237.455303,82.77212331919512,81.35437346896828
2016-11-09,11515479618.419998,13831943295.649446,83.25279660481225,81.47686465823993
2016-11-10,11389753141.977827,13659672444.420378,83.38232990813952,81.57934302962987
2016-11-11,11429941440.150002,13698156331.083254,83.44145857215602,81.68452958199545
2016-11-12,11241603256.32,13451662317.827385,83.57036469330329,81.79724421985556
2016-11-13,11220193117.664371,13476927118.440607,83.25483264142369,81.88957023322766
2016-11-14,11279469101.249998,13598790305.049898,82.94465057720154,81.96379258865169
2016-11-15,11386521351.124006,13737129994.833023,82.88864817765315,82.0510546876974
2016-11-16,11847684538.725117,14135966226.560368,83.81234327275237,82.17078717048307
2016-11-17,11810455253.999998,14071862824.559055,83.92957919819746,82.30718805546915
2016-11-18,11970910272.5825,14183860673.754614,84.39810956923111,82.4534478882248
2016-11-19,12003962099.202116,14219378481.556358,84.41973828020816,82.60480652815927
2016-11-20,11652611522.3775,13822826642.947395,84.29977329074607,82.75473992746198
2016-11-21,11783996774.934998,13965149902.732967,84.38145567366148,82.88690464268569
2016-11-22,11971109864.2825,14187010824.431416,84.38077627788287,83.02082722503422
2016-11-23,11861151745.206772,14052197787.6494,84.40780527321955,83.15189300588537
2016-11-24,11791975961.232533,13919563844.918083,84.71512536319652,83.28801610626192
2016-11-25,11816670435.200802,13961524112.033585,84.63739589158385,83.39827491735079
2016-11-26,11730463632.615002,13866330240.075104,84.59674210493537,83.49472023113857
2016-11-27,11652161720.374998,13771584981.224382,84.61017185938351,83.58972340641951
2016-11-28,11719038707.963842,13808200009.271126,84.87014020723501,83.63248960309294
2016-11-29,11719891045.97,13744075079.895214,85.27231536383132,83.72263017811592
2016-11-30,11890119632.989996,13971312755.599682,85.10381122364078,83.7991667142927
2016-12-01,12062849170.250002,14123519131.83402,85.40965645779227,83.86104874218277
2016-12-02,12354385552.1631,14327894124.76664,86.22610862825815,83.9485481850999
2016-12-03,12254501749.676563,14258798511.23349,85.94343864261856,84.0541090344795
2016-12-04,12280532758.265596,14229663111.387218,86.30234364746246,84.17333032481436
2016-12-05,12055567493.999994,13866024988.99986,86.94321194115739,84.32322509865709
2016-12-06,12160418226.562498,14093534749.457289,86.28366440882242,84.43988130316605
2016-12-07,12245767526.624998,14262411664.450788,85.86042679687688,84.54371126221928
2016-12-08,12323570551.874998,14367893910.747305,85.77158648601146,84.64369336777983
2016-12-09,12343519928.004995,14416194788.689072,85.62259395724665,84.72268661286097
2016-12-10,12397466677.567526,14417048493.325148,85.99171101704587,84.80966598315784
2016-12-11,12320826024.727495,14367873206.223682,85.75260825235098,84.886704305831
2016-12-12,12485927227.144997,14576687763.635632,85.6568201885586,84.95625282233952
2016-12-13,12484153823.955006,14579834861.431826,85.62616752936931,85.03529731860436
2016-12-14,12444714533.525003,14530656767.00278,85.64454265952604,85.12529372134851
2016-12-15,12444351602.187496,14506462990.404448,85.78487816374694,85.22183472088498
2016-12-16,12538210372.3,14635563745.15105,85.66947328184791,85.28373905452149
2016-12-17,12660596387.812498,14729271418.792606,85.95534719836344,85.35126465452704
2016-12-18,12654965391.075603,14758822879.744137,85.74508613721498,85.39616387345983
2016-12-19,12683371140.053097,14789837057.840193,85.75734195347037,85.44075066256855
2016-12-20,12838925680.525,14942194369.45656,85.92396379723941,85.49489034611834
2016-12-21,13272429704.645523,15410144565.930964,86.12787276498665,85.55310424916252
2016-12-22,13799864746.8981,15914268401.302391,86.71378664047634,85.63087126124897
2016-12-23,14728698437.88,16848556941.906946,87.41815983804356,85.73121641340977
2016-12-24,14322006704.34,16458086698.126137,87.02109161917744,85.8080819552758
2016-12-25,14366519915.082954,16499622849.795383,87.07180791869506,85.88922902284618
2016-12-26,14501002033.91,16647903686.144058,87.10407212398212,85.97280669014773
2016-12-27,14928671401.875002,17033816021.008495,87.64137984972284,86.07384695649237
2016-12-28,15702309526.679998,17930777795.066433,87.57182597511421,86.16390314875501
2016-12-29,15617018872.949997,17969580913.36058,86.90808621662718,86.2184288438482
2016-12-30,15445427987.500002,17834723494.060974,86.60312559734041,86.2684059896382
2016-12-31,15537921940.53077,17913081351.131847,86.74064297457677,86.31277220686435
2017-01-01,16045986192.85,18411793573.02766,87.15058709085547,86.3435881556176
2017-01-02,16387926824.930002,18831938494.80596,87.02198570502956,86.37953972436462
2017-01-03,16652715382.972502,19238516518.88727,86.55924882058251,86.3881032301353
2017-01-04,18187664239.845806,21048794032.30584,86.40715573505659,86.37023468993195
2017-01-05,15934886737.499996,18574207855.050205,85.79039742557529,86.35379245715703
2017-01-06,14382278476.6875,16917185086.208496,85.01578958554077,86.32563788344582
2017-01-07,14481153594.445597,16977818762.021896,85.29454694638895,86.30973656545841
2017-01-08,14611836820.125006,17168811497.407743,85.10686265226451,86.29254552195901
2017-01-09,14513519375.287489,17074750597.749687,84.99989087512793,86.25948485056173
2017-01-10,14577733897.52693,17208987691.207134,84.71000246560328,86.22473132433682
2017-01-11,12624083564.875004,14996550026.2593,84.17991833301623,86.1755012624854
2017-01-12,12869633173.255,15295955966.426905,84.13748837602931,86.12587862404074
2017-01-13,13274790985.975603,15705448766.77319,84.52347451580026,86.08850968591655
2017-01-14,13169067953.750004,15628672594.008936,84.26222940263148,86.03775472721269
2017-01-15,13236623006.074997,15705357991.372494,84.28093783883398,85.99147021244556
2017-01-16,13341392032.219995,15813883613.05444,84.36505768391143,85.93846056196384
2017-01-17,14564800038.017504,17149199058.658718,84.92991415050174,85.91128816240672
2017-01-18,14079682756.124992,16634952093.888592,84.6391542137211,85.87401523774841
2017-01-19,14451431614.25,17038082296.887424,84.81841654732492,85.83716366275127
2017-01-20,14366002978.3256,16973276372.373678,84.63895044864897,85.78753291887334
2017-01-21,14822821174.630005,17493782792.576324,84.73193791408129,85.72147129466018
2017-01-22,14810403902.437784,17448376672.258743,84.88127108113682,85.63690833609661
2017-01-23,14814052397.812502,17472267968.262886,84.78608744280456,85.56240819688419
2017-01-24,14281760609.6256,16868837618.396326,84.66357275293595,85.48213369135888
2017-01-25,14407365094.065598,16997784271.733353,84.76025382922691,85.40400641486704
2017-01-26,14762033603.999998,17411170766.31084,84.78484188187562,85.30878848260546
2017-01-27,14811184892.8875,17452678667.669136,84.86482318800168,85.21855505636837
2017-01-28,14844529150.19,17513348151.817055,84.76122910084354,85.14699315250893
2017-01-29,14747986190.022495,17422263009.97038,84.6502327601331,85.08189672460203
2017-01-30,14860100039.695711,17572325383.41801,84.56535896904305,85.00938725775089
2017-01-31,15624634422.4056,18367976094.638664,85.06454027325414,84.93985236383085
2017-02-01,15922459702.093218,18710212581.510326,85.10036768811487,84.87579842993368
2017-02-02,16276789219.937464,19090682201.09729,85.26038539891418,84.83250298254475
2017-02-03,16392262891.437502,19222627390.475994,85.2758707665487,84.79479348359447
2017-02-04,16687723783.25,19580737305.660164,85.22520639928157,84.77595378271803
2017-02-05,16420090077.568644,19284369637.21809,85.14714448264102,84.78033227928803
2017-02-06,16544150319.051847,19453965819.669907,85.04255878934492,84.77193267405323
2017-02-07,16981015237.500008,19944878373.25749,85.13972820344951,84.77302819242608
2017-02-08,17045265643.7481,19975904949.45689,85.32912870218443,84.78400278666128
2017-02-09,15858560740.5,18626520718.786728,85.1396832501576,84.79832547947976
2017-02-10,16028562068.1356,18841965282.17561,85.0684194992044,84.82794218501937
2017-02-11,16334579162.865597,19182270304.009243,85.15456671180128,84.86184479621177
2017-02-12,16167938833.727505,19000825009.47652,85.0907201432773,84.88075298379434
2017-02-13,16098583564.75675,18903229022.863377,85.16314088606545,84.91078336657547
2017-02-14,16326912555.985212,19330872851.142567,84.46029665453104,84.91676199376538
2017-02-15,16308969767.02,19336691400.866592,84.34209053100521,84.91599642200183
2017-02-16,16731535006.800604,19741636601.552032,84.75252252128487,84.9100833676946
2017-02-17,17083619843.997011,20077113480.15081,85.09001984217846,84.9251122219765
2017-02-18,17118312229.51949,20106252967.056217,85.13924627113553,84.93580654610354
2017-02-19,17037979881.749996,20030535035.37752,85.06003385160639,84.94984265953545
2017-02-20,17500458951.95995,20483498472.17725,85.43686507327268,84.97334023150849
2017-02-21,18202277765.49074,21173238284.765907,85.9683224676465,85.00957527772549
2017-02-22,18168250822.125,21135568525.95116,85.96054939244829,85.04872400938028
2017-02-23,19176691563.44728,22239289225.61332,86.22888694374818,85.100901149074
2017-02-24,19108706913.125,22148525162.49573,86.27530173197229,85.1514027458322
2017-02-25,18601876715.06894,21668265189.335705,85.84848188134634,85.18685741248122
2017-02-26,19110682514.326004,22302025688.85094,85.69034392189617,85.21437477027771
2017-02-27,19314424735.21033,22580431543.24769,85.53611873279718,85.24020442467616
2017-02-28,19271383899.147,22589765469.59684,85.31024337142415,85.26220477838585
2017-03-01,19875003126.77169,23443445672.49431,84.77850655755186,85.26930969800283
2017-03-02,20437807786.697,24222024762.998512,84.37695851883419,85.24639030618883
2017-03-03,20884867165.511112,24793056883.345787,84.23675734612654,85.21760329478921
2017-03-04,20551257963.730083,24335831824.85596,84.44855352238088,85.1905422322381
2017-03-05,20673857896.125004,24549977473.691925,84.21131106242105,85.15505690876718
2017-03-06,20753062038.099995,24714442383.157536,83.97139501008061,85.1132631957938
2017-03-07,19978921138.285755,23842289181.150154,83.79615307275611,85.06823014879765
2017-03-08,18629281761.825005,22163695265.016872,84.05313978138574,85.03524951519901
2017-03-09,19305673114.12323,23023149407.601093,83.85331117101408,84.99236894745117
2017-03-10,17829356645.959938,21628185027.621307,82.43575049496805,84.89592300721061
2017-03-11,19147525540.5318,23439209954.678,81.69014901763074,84.78093853279304
2017-03-12,19950023304.0,24502426635.74802,81.42060213290772,84.65934462058316
2017-03-13,20158188044.32141,25338519571.851284,79.55550831278741,84.47270934061603
2017-03-14,20214039431.746094,25511080470.00783,79.2363124545461,84.27756241765833
2017-03-15,20409261728.959,26412615129.678383,77.27088600941393,84.01448725510326
2017-03-16,19743578282.65421,26256679035.07561,75.19449910736724,83.70562733686448
2017-03-17,17423426593.321995,24246526347.472294,71.8594752239155,83.28954015996149
2017-03-18,15606390507.000002,21404536077.86797,72.91160364431734,82.89484286406258
2017-03-19,16606689806.263306,23689626909.58642,70.1011031944244,82.39521230913743
2017-03-20,16816818647.793924,23686914355.34441,70.99624035242731,81.92377877851384
2017-03-21,18058074337.21503,25082029728.487377,71.9960646434656,81.48831313824249
2017-03-22,16877645842.247135,23849356057.73593,70.76772136483991,80.99934168129472
2017-03-23,16705852353.567331,23941809102.434208,69.77690065981194,80.45962762103356
2017-03-24,15261293153.465893,23182354249.61644,65.83150696922164,79.78865954025933
2017-03-25,15672767506.162111,23485761973.766403,66.73305947521989,79.13879862464174
2017-03-26,15499531724.033216,23280370027.00085,66.57768629131185,78.48221144328637
2017-03-27,16932388062.889202,24603362047.225853,68.82144005517495,77.914643382414
2017-03-28,16968792612.799994,24943260597.274555,68.02956873510796,77.32595087618773
2017-03-29,16871375654.368252,25127139808.08365,67.14403542635029,76.71288143263949
2017-03-30,16757840043.708635,25393403266.35916,65.99288747526487,76.06896956943419
2017-03-31,17519577833.28675,26230125522.01718,66.7918185087642,75.46941330114126
2017-04-01,17634831646.535995,26483059250.525845,66.58910316860708,74.87648478946703
